NAME	B cells	CD8 T cells	CD4 T cells	NK cells	Monocytes	Neutrophils
CRTAM	1	18.57470615	1.135133928	3.085639652	6.965669208	1
CSF1R	1	1.034901492	1	1	548.5463652	60.94942432
CSF2RB	45.00499419	1	3.706276356	116.6716822	300.7043673	1798.60381
CSF3R	3.43630898	2.432416609	1.940505539	1.764948063	1528.167595	7551.854011
CST3	1.6372936	2.341533455	1	5.306838718	1025.748761	75.15092223
CST7	1	257.7018027	15.74760006	729.4559524	1	139.5973757
CSTA	1	1	1	1	146.0589819	81.12060834
CTBP2	1	4.004865622	1	150.6379616	73.69872534	105.1907698
CTLA4	1	8.001686636	62.02225392	1	1	1
CTSW	1	387.1709637	40.51546532	1309.132406	1	1
CX3CR1	1	21.44051496	1	164.7381872	105.670339	31.24208356
CXCL2	1	1	1	1	49.80154302	1
CXCL8	1.30473885	1.427715538	1	1.874570701	1132.723193	1102.036716
CXCR1	1	1	1	11.20388983	1.584998529	1262.077065
CXCR2	1	1.203149789	1	19.08836847	5.934986077	2565.480562
CXCR3	2.907811467	32.12835424	13.03362245	10.84001919	1	1
CXCR5	40.49081727	1	2.557411699	1	1	1
CXXC5	247.9542594	8.552087254	1.609477701	104.5185965	31.72593664	1
CYBB	358.9392349	1	1	1	1494.204804	106.2709954
CYP1B1	1	1	1	1	136.1948056	11.19110091
CYP4F3	1	1	1	1	3.493014336	416.1923461
DAB2	1	1	1	51.06423645	7.392713223	1
DACT1	6.64316777	1.213642943	18.98538599	1	1	1
DAPK1	1	1	1	7.024370145	161.216541	59.23808736
DBN1	1	37.59271702	1.326098749	3.395098376	2.559494204	57.7553935
DCHS1	2.039622664	40.60721405	44.08194003	2.347044764	4.748285325	1
DENND5B	119.4747154	1	1	1	1	1
DERL3	117.463398	2.477759582	1.838408824	4.126845764	2.226301371	1
DGAT2	4.9972555	1.021706086	1.024839673	1.037489938	8.929774578	347.0027003
DHRS3	1	41.27250819	57.08433574	66.14792973	1	1
DIRAS1	26.78567196	1	1	1	1	1
DLG5	1	16.5612636	2.13857574	90.04697904	1.871785637	7.074157365
DMTN	1	29.87100702	33.25375328	7.726647298	1	1
DOCK5	1	2.646439638	1	70.61602907	130.8835528	540.2251793
DOCK9	24.72044375	120.8779305	151.0725342	40.51946784	1	6.103334974
DPP4	1	73.16320588	116.15988	1.693631511	1	1
DSC2	1	1	1	1	25.67365251	110.1218715
DTHD1	1	7.123876475	1	65.28857429	1	1
DTX3	4.722799411	74.94176138	54.71619036	117.3936047	1	1
DUSP4	7.715114315	38.97129875	62.23955422	8.880762813	1	1
DUSP6	33.56373289	6.097424326	5.549625954	42.8829404	1740.772742	218.8187833
DYSF	1	7.143914543	1	13.14754158	208.7442429	985.0539597
EBF1	98.47603265	1	1	1	1	1
EDAR	1	9.181198853	31.46185541	1	1	1
EGR1	174.9601952	5.287838552	1.42752756	9.940814154	1296.157017	113.5321609
EGR2	5.892111919	1	1	1.314157118	198.1038202	11.51803119
EGR3	14.2515482	1.476322562	1	1	216.0847368	34.90607865
ELOVL6	1	9.39087211	3.887327584	44.81188117	1	1
EMILIN2	2.601003554	2.914383954	3.838033735	4.661687486	372.6108435	60.25617653
EML6	70.98688558	1.945820365	1.831812299	2.592086265	1	1
ENO2	25.61810594	120.6808002	140.2117617	21.11799663	1	1
EOMES	1	21.57537195	2.445355913	31.6510403	1	1
EPB41L3	1	1	1.634541619	1	102.3845681	1
EPHB1	1	1	1	1	1	87.53342258
EPHX2	1.727241526	27.14421794	68.44637809	1.44054002	1	1
ERBB2	5.792215845	6.493238593	3.134225456	133.9079009	2.591887728	1
EREG	1	1	1	1.968101829	93.3375896	1
ETS1	748.9127393	1366.029094	2260.235808	1225.512213	3.575030979	31.63457422
F13A1	1	1	1	1	188.2643828	12.24847919
F2R	1	33.28370785	4.742091598	101.602374	1	1
FAM102A	153.860786	434.9290518	581.1837882	21.3536681	6.732155885	5.707565318
FAM111B	27.45615474	1	1	1	1	1
FAM129B	1	7.218055672	11.66755989	1.680122741	129.6796963	1
FAM129C	995.9010432	1.445012543	1	1	1	7.986477728
FAM153A	1.268154825	31.22084428	50.1654724	1	1	1
FAM153B	1	19.79202199	37.70026389	1	1	1
FAM179A	1	10.12441851	2.730439528	63.78569011	2.021944756	1
FAM198B	1	1	1	1	229.0715924	5.522290039
FAM212B	5.064230365	1	1.723030088	1.861633362	35.76953598	342.0235229
FAM30A	212.1784621	1	1	1	1	1
FASLG	1	2.81179792	1	22.05872915	1	1
FAT4	1	1	1	21.83652764	1	1
FBLN7	1	1	12.58775566	1	1	1
FBXL16	2.36053889	16.98999612	49.57661781	1	2.478340418	1
FBXO32	7.045556949	73.97136891	54.67546397	38.73197729	2.59304051	1
FCAR	1	1	1	1	240.777986	118.4750379
FCER1G	1	4.421682239	1	162.6051652	524.0650234	211.6383392
FCER2	513.3105545	1	1	1	3.872364382	1
FCGR2A	8.564184763	1	1	11.58940978	368.9875515	1588.225624
FCGR3A	1	78.96433889	1	865.5817371	174.6403905	707.5131644
FCGR3B	1	1.912852874	1	3.579966761	3.861628019	5572.184441
FCN1	6.152738891	1.825356944	1	1	4345.757801	278.4109937
FCRL1	1297.764308	1	1	1	1	9.402800744
FCRL2	437.3894373	1	1	1	1	1
FCRL3	319.1149254	60.43302285	17.15106209	174.6266149	1	1
FCRL5	202.1192269	1	1	1	1	1
FCRL6	1	78.23520392	1.639647311	326.8822575	1	1
FCRLA	263.4420122	1	1	1	1	1
FEZ1	1	3.604514802	1	26.13535113	1	1
FFAR2	1	1	1	1	39.77664485	555.048167
FGD2	508.9626645	2.312328536	1	2.185150391	285.3662255	1
FGFBP2	1	70.92164077	1.639647311	750.5534516	1	1
FHIT	2.734102608	12.29467717	117.8602021	2.883397115	2.940490073	1
FLT3LG	17.67580677	192.8183352	252.1104552	23.5441411	9.143468305	10.00434937
FLT4	1	36.22012841	9.791314175	1	1	1
FOXP3	1	2.350010918	36.97415248	1	1	1
FPR1	1	1	1	1	342.237808	2121.908878
FPR2	1	1	1	1	32.17505245	513.6028447
G0S2	1	1	1	1	213.8954262	838.6428604
GAS2L1	1	1	1	1	47.79088571	1
GATA2	1	1	1	24.92738618	1	1
GATA3	1	182.1408578	161.2317949	104.9243226	1	1
GCA	20.836358	2.65832209	4.786720653	1.34967174	133.7949894	1001.595013
GFOD1	51.89516297	10.29974223	2.144289842	303.2104457	21.26645994	8.725937799
GIMAP5	1	116.1330585	237.4324716	32.79787189	11.29310994	1
GIMAP7	1	34.80399449	60.4269803	22.1211458	10.72745291	1
GK5	12.66190539	34.60867907	18.60289426	212.6150787	13.9801944	6.66247055
GLT1D1	1	1	1	1	143.5050238	462.0639671
GNG7	286.8080598	5.539274755	7.610151532	1	4.668596251	34.27741869
GNLY	1	473.6909497	11.43389217	5572.184441	1.831812299	7.031599728
GOLGA7B	1	22.08362908	40.18178736	9.41040947	1	1
GOLGA8A	103.2586634	167.8513078	240.7721667	101.3735744	2.896993434	1
GPA33	2.369917969	5.530819998	25.91048355	2.802308113	1	1
GPR153	1	4.912903861	1	24.30143616	2.265599601	1.0185725
GPRASP1	41.9259424	111.7854125	143.7273287	18.56683042	1	1.006152898
GRAP2	22.37027587	163.7717936	109.7195267	67.34954683	1	1
GZMA	1.024839673	149.6748268	21.07072517	397.0090258	1.228179344	3.181050468
GZMB	1.024839673	56.83016349	1.031164805	1015.961106	1.247129441	3.189159292
GZMH	1.024839673	183.0473768	3.96402157	369.7996035	1.247129441	3.189159292
GZMK	1.024839673	157.8467585	23.98675463	14.18602821	1.235736206	3.197288786
GZMM	1.024839673	153.7623802	44.96369509	230.9237801	1.254873722	6.2245804
HAL	2.396086885	1	1	1.515499414	33.04985257	199.16295
HAPLN3	7.846257064	101.6623634	205.2260446	10.22723727	3.05752597	1
HAVCR2	1	3.822336745	2.123006849	81.65849933	38.22027443	1
HBEGF	1	1	1.780670076	1	176.3903279	6.437933733
HCAR2	1	1	1	1	72.36143163	178.016506
HCK	32.97813621	1	1	1	569.5928478	924.8786538
HDC	1	1	1	49.96683939	1	1
HIST1H2AC	12.0679757	2.2323154	2.257397583	2.669463479	8.611558552	311.8710522
HIST1H2BC	1	1	1	1	1	76.73738371
HK3	1.112183217	1	1	9.515319233	676.7778054	222.5933658
HLA-DMB	1036.932585	9.441151744	3.71783204	8.105316823	362.0586437	15.31786106
HLA-DOA	463.0758372	24.31773295	3.231360782	1	16.81511606	1.968101829
HLA-DOB	162.3164042	2.613104102	3.539804599	3.696794543	2.488512873	15.04299572
HLA-DPA1	1335.996484	81.81162114	28.25122724	34.046942	939.350732	1
HLA-DPB1	1335.996484	112.0088224	31.70906293	45.30858584	604.4334273	1
HLA-DQA1	998.8077645	6.816526303	2.125165711	1	133.7889354	1
HLA-DQA2	108.0686146	1.612340832	1	1	14.97105031	1
HLA-DQB1	1751.264504	25.18303202	11.41109614	5.394394856	819.0403282	38.64628769
HLA-DQB1-AS1	71.11407514	1	1	1	20.21753962	1
HLA-DRA	4235.979781	31.71151078	11.34309521	7.002874729	2632.610596	37.52525657
HLA-DRB1	762.5284044	26.15643883	9.268799551	9.123889291	546.2425383	7.986477728
HLA-DRB5	209.5535127	7.014598527	2.959931381	2.263798017	149.9832683	1
HMOX1	5.152652041	1	1	5.749216721	187.0085499	57.70641313
HNMT	1	1	1	1	45.27697187	1
HOPX	6.075701246	29.24505636	6.59323286	185.7247325	1	1
HPCAL4	1	11.69389189	21.44424535	1	1	1
HSPA1A	1	2.084398926	3.060599918	2.754322359	16.46300229	182.3203353
HSPA6	1.522303228	1	1	2.538877863	22.71576611	374.9937582
ICOS	1	38.68607559	132.841881	1	1	1
ICOSLG	593.2964685	9.011782722	16.25734135	1.171183317	70.48453494	1
IFI30	45.14968618	3.545757254	2.332142257	4.026966923	1822.06231	330.5835745
IFIT1	1.934613077	1.003076449	1.943692946	2.063426098	10.45340473	166.2038196
IFIT2	4.519477538	5.45012452	3.446552389	20.02532717	23.39474534	500.8620373
IFIT3	3.296483813	3.015447462	3.377851593	9.323994529	22.43249411	372.3117176
IGHA1	667.0335052	2.33863822	1	2.41923164	1	1
IGHA2	126.7701281	1	1	1	1	1
IGHD	1669.745064	1	1	1	1	1
IGHG1	442.9508318	1	1	1	1	1
IGHG2	191.6233593	1	1	1	1	1
IGHG3	101.2604763	1	1	1	1	1
IGHM	6955.493288	3.408999324	3.2487926	1.075760141	1.709220966	4.882633646
IGLC2	79.37099718	1	1	1	1	1
IGLC3	87.5203169	1	1	1	1	1
IGLL5	67.78560783	1	1	1	1	1
IGSF6	1	1	1	1	86.23275173	262.5542129
IL18RAP	1	32.99586658	3.845931029	271.0916954	1	165.1050901
IL1B	1	1	1	1	1148.299861	92.03329814
IL1R2	1	1	1	1	3.484787343	160.8134489
IL1RN	1	1	1	1	92.63023717	243.0836516
IL2RA	10.29984693	2.381438326	37.98542408	2.366875185	1	1
IL2RB	1.812211062	444.7094793	143.6401038	3740.373471	1	1
IL32	1	383.5294523	412.7209531	166.8325932	1	24.6658427
IL6	48.49912357	1	1	1	1	1
IL7R	1.572893675	1064.910487	1655.648579	28.53686501	1	4.561780289
INPP4B	1	99.4439624	235.93343	5.290001349	1	1
IRF8	794.2129717	2.823651396	2.073293659	85.56233827	238.326679	1
ITGA6	1.883282174	237.8275899	331.4845635	63.89636482	1	12.38156895
ITK	1	620.9075795	777.6776797	224.140036	1	1
ITM2A	6.735702607	86.49683445	121.1315237	37.37279155	1	1
JCHAIN	159.5209178	1	1	1	1	1
KCNH8	70.65527803	1	1	1	1	1
KCNIP2	38.72505124	1	1.4627392	1	1	1
KCNJ15	1	1	1	1	5.823697814	403.5450126
KCNJ2	1	1	1	1	1.888545585	152.0960213
KCTD12	5.856505439	5.44275852	8.492423807	1.37150416	476.2262032	79.78972073
KIFC3	1	2.919561688	1	84.33398897	2.318022282	9.959463467
KIR2DL3	1	1.012419836	1	21.09241424	1	1
KIR2DS4	1	1.012419836	1	31.33530232	1	1
KIR3DL1	1	1	1	40.0889168	1	1
KIR3DX1	1	2.423848642	1	47.28516537	1	1
KLF4	186.7318556	7.106053123	4.414553762	32.84953828	1588.225624	46.59551452
KLF8	82.69666678	2.911781725	8.743489666	11.24969313	1.717662007	1
KLHL14	69.56529748	1	1	1	1	1
KLRB1	1	121.1587546	87.54106368	364.8351795	1	1
KLRC1	1	3.953187018	1	60.92971017	1	1
KLRD1	1	36.25005626	1	324.3720459	1	1
KLRF1	1	13.0578096	1	369.2235156	1	1
KLRG1	1	41.41372632	10.78669221	21.42523236	1	1
KLRK1	1	21.56490092	1	13.68499342	1	1
KMO	41.99653471	1	1	1	7.52504469	1
KREMEN1	1	1	1	1	6.266397162	133.9325668
KRT23	1	1	1	1	2.369917969	184.9660932
LAG3	1	39.55381028	5.159283906	1.91055924	1.006152898	2.57524251
LAMA5	166.1604817	1.871869982	1.805708538	3.228436772	2.203614647	5.956174855
LAMC1	79.72452155	1	1	1	6.011497149	1
LARGE1	44.20231937	1	1	1	1	1
LARGE2	161.2636844	5.808410544	4.933250451	1	1	1
LCK	15.60270556	477.3140596	518.9524997	292.3054427	1	1
LDHB	108.3446332	420.6729409	747.1447153	82.30565867	83.44105273	1.489905924
LDLRAP1	24.74457655	187.057517	274.8685249	32.15046317	17.84332067	1
LEF1	2.529584031	337.4513636	515.8289923	8.723430041	1	1.669816921
LGALS2	1	1	1	1	134.6867341	1
LGALSL	1	1	1	1	1	60.81361888
LGR6	1	16.84596535	1	88.00777285	1	1.006152898
LILRA1	1	1	1	1	268.4262138	176.7130435
LILRA2	1	1	1	1	249.4982385	424.5435265
LILRA5	1	1	1	1	213.0292575	223.1198713
LILRA6	1	1	1	1	153.6942699	233.0834234
LILRB2	3.175327327	1	1	1.218033915	679.3692421	447.5841674
LILRB3	1	1	1	1	96.45444254	287.9876279
LILRB4	1.319054673	1	1	1	137.8495251	1
LIN7A	1	1	1	1.912458898	36.11330962	138.2692754
LINC00299	1	3.178089699	1.372447726	50.60265723	1	1
LINC00402	1	22.84837343	54.28334214	1	1	1
LINC00494	86.20208513	1	1	1	1	1
LINC00649	3.001031594	110.8862214	127.0473864	6.182136262	1.851637466	1
LINC00861	1	313.7272975	487.05171	221.2213373	1	1
LINC00926	1820.720966	2.164850299	1.783825501	2.624281251	2.770448977	1
LINC01272	1	1	1	1	110.4531917	204.4391816
LINC01550	1	20.02053725	35.91771387	1	1	1
LLGL2	19.12368389	72.77319559	35.92735734	251.9625625	5.980869575	5.286334105
LMNA	11.31563767	295.3522595	125.3374007	70.48968386	82.91214604	1
LPCAT2	1.006152898	1.003076449	1.006152898	2.658016022	88.6015714	227.5368723
LRG1	1	1	1	1	9.018568984	298.329996
LRP1	4.66893497	6.793713781	10.68010131	2.202835076	1121.837542	1
LRRC25	3.758751946	1	1	3.624778329	220.8523148	486.3272606
LRRC4	1	1	1	1.825356944	10.40526665	185.8644439
LRRK2	82.36597744	1	1	1	306.8328671	1088.371957
LTBR	1.340045567	1	1	2.997342258	159.8521491	107.398748
LTF	1	1	1	1	1	69.34274973
LTK	17.94595791	62.29523795	13.96207342	2.397536217	1	1
LYZ	13.65242318	3.200506359	2.215517791	1.621541334	9418.638837	555.048167
MACROD2	54.45605888	1	1	1.003076449	1.024839673	2.685104859
MAF	1	52.80530147	142.0902002	63.27030226	5.169627863	1
MAFB	1.731606039	1	1	1	1039.92878	25.57620577
MAL	1	58.5820904	190.1255279	1	1	1
MAN1C1	1	33.73560109	66.40410057	4.858330766	16.28734466	1
MANSC1	1	1	1	1	2.385737151	125.5634636
1-Mar	335.6177027	1.871869982	2.289972103	1.644784417	154.2374486	1
MARCO	1	1	1	1	44.15932309	1
MARVELD1	1	1.402854269	1.864973302	1	59.44787558	1
MATK	3.182183271	133.3963851	14.6219127	490.9482267	1	1
MBOAT2	1	1	1	2.790017889	9.627408372	117.4523718
MEF2C	459.6289426	1	1	4.758707965	102.2242267	44.61469929
MEFV	1	1	1	1	130.5192939	451.4970734
MGAM	1	1	1	37.99565748	9.929129084	818.4902756
MIAT	95.18082844	400.4798753	306.0703363	312.6369286	1.805708538	16.9277004
MIR600HG	54.65944767	3.16393923	4.820703568	1	1	1
MLC1	1	4.067859908	1	190.0149452	7.221347441	1
MME	2.963418373	1	1	1	1.818713586	905.3279008
MMP17	80.08130386	1	1	1	41.22603946	1
MMP23B	1	5.47203511	1	48.47994737	1	1
MMP25	3.453734511	24.80428787	19.74358614	88.35709018	49.22669037	2235.83302
MMP9	1.462766719	2.091905039	1.397291812	2.997153216	4.155537714	320.7352689
MNDA	7.005995104	1	1	1.805656813	669.0096222	3514.721798
MPEG1	323.972072	1.825262942	1	1	2050.529137	181.7676692
MRVI1	1.606595322	1	1	1	10.69118828	160.8134489
MS4A1	3079.882069	4.94925247	1.222690094	1	1	1
MS4A6A	1.812211062	1	1	1	539.7119366	61.99357458
MS4A7	12.49241952	1	1	1	160.5626034	1
MSRB1	4.147785152	3.992349173	3.995210813	6.676519737	111.78979	590.8849661
MTMR11	1	1	1	1	88.9991718	1
MYBL1	3.996929992	138.5937403	39.05229921	334.9593879	1	1
MYCL	1	1	1	1	65.47993779	1
MYOF	1	1	1	1	95.19900665	1
MYOM2	1.609477701	1	1.609477701	69.44013841	1	1
MZB1	115.7605252	1.536338553	1	1.518605139	1	1
NAMPT	16.51331361	19.97428839	15.95038379	20.60735354	706.4239452	3975.469209
NAMPTP1	1	1	1	1	31.02471293	237.6019292
NAPSB	194.6684476	1	1	1	151.3613964	1.024839673
NCALD	1	20.16068836	8.134207443	61.44581946	1	1
NCAM1	1	3.721436428	1	208.9818304	1	1
NCF2	14.64599742	2.349950406	7.268189216	3.068117599	954.9047979	1709.269545
NCR1	1	3.067129778	1	74.18474125	1	5.804388879
